frame,car_count,bus_count,truck_count,density
277,5,3,2,0.026844472955293627
278,4,1,1,0.01440274305174912
279,10,1,0,0.026775989301849795
280,6,3,1,0.027795485251936716
281,6,0,0,0.011226686863977833
282,4,2,1,0.020262439161899102
283,6,0,0,0.01744996626627485
284,6,0,0,0.010564871366205122
285,8,0,0,0.013762396656642927
286,2,0,0,0.005724993994679405
287,11,1,0,0.021279395263991318
288,1,2,0,0.010471874200744356
289,2,1,0,0.008340621813129272
290,4,0,0,0.014643490201043378
291,7,2,0,0.02465428101100433
292,1,1,0,0.005008670725639806
293,1,1,0,0.025805386663651682
294,1,1,0,0.004571699311771361
295,8,2,0,0.036282454455633543
296,9,2,0,0.04046868395783046
297,6,1,0,0.013927830652127913
298,2,1,0,0.006712693114871702
299,4,1,0,0.008504525912840446
300,7,0,0,0.012538246547100479
301,7,0,0,0.017809641117687815
302,9,1,0,0.027104298190273386
303,3,1,0,0.010360758636383208
304,1,1,0,0.00580339677323031
305,3,0,0,0.0078709212307068
306,10,1,0,0.022466329673149214
307,7,0,0,0.01243561112954652
308,4,1,0,0.015481210254590145
309,1,0,0,0.00623239882885375
310,5,2,0,0.01983505448564958
311,8,1,0,0.019456112364904483
312,8,1,1,0.04026711089052219
313,8,1,0,0.04568207355577743
314,5,0,0,0.015915134388992162
315,2,0,0,0.002940730701310612
316,3,0,0,0.0067845424503752
317,1,1,0,0.005470678790636247
318,5,2,0,0.023622512928116825
319,5,1,0,0.014329339019772036
320,4,0,0,0.009633625349524664
321,6,2,0,0.02288624188352885
322,3,1,1,0.03772022213394298
323,6,3,1,0.05883275768667761
324,5,2,0,0.027563633204165258
325,9,1,0,0.02025270428206343
326,5,0,0,0.010784038722265028
327,0,0,1,0.005344114501494915
328,1,1,2,0.02258006757586069
329,1,0,0,0.0028893932348863153
330,8,0,0,0.017142334197738415
331,2,1,0,0.0054939469741549585
332,4,1,0,0.014811364940321288
333,2,1,0,0.005405620413819432
334,7,1,0,0.010360938614437517
335,7,0,0,0.020163103826958427
336,0,1,0,0.003414811726866497
337,3,2,0,0.009938765503827232
338,2,0,0,0.004036737240848769
339,2,2,0,0.016977191846828513
340,4,1,1,0.0172168746217708
341,2,1,1,0.018914404164240776
342,3,2,0,0.013676991602560407
343,3,0,0,0.005402529760940075
344,6,1,0,0.011510739773964614
345,6,3,0,0.026810099176784407
346,3,1,0,0.007369026574823591
347,4,0,0,0.006590770325403557
348,6,0,0,0.0071904502607234196
349,4,1,0,0.009026409308830302
350,5,0,0,0.009854712101724646
351,8,1,0,0.021103812707621763
352,3,0,0,0.007462981318617326
353,4,0,0,0.008298222535749017
354,6,0,0,0.00846427398030003
355,0,0,0,0.0
356,2,0,0,0.0015903648361563682
357,5,0,0,0.01277201217977563
358,5,0,0,0.008201529143051528
359,1,0,0,0.0008206505114557567
360,5,0,0,0.010779396855796222
361,3,0,0,0.006493307288328651
362,4,0,0,0.008782092235094211
363,2,0,0,0.0046145558638575794
364,2,0,0,0.006904637827775096
365,8,2,0,0.03130231074330053
366,8,0,0,0.009260618784340934
367,4,2,0,0.018723016947629664
368,6,0,0,0.012253991517757606
369,3,0,0,0.00853379654293854
370,6,0,0,0.009892854596686516
371,6,0,0,0.009761521857164305
372,4,1,0,0.008599573595371718
373,5,0,0,0.013034910750144195
374,2,1,0,0.007716121211512169
375,4,0,0,0.005516451488446263
376,8,4,1,0.035943387193611044
377,4,1,1,0.035118475275395876
378,3,1,1,0.029852922669810208
379,2,1,1,0.01143772875646526
380,8,1,0,0.020097004183701722
381,8,3,0,0.037457162202680826
382,4,3,0,0.04009658619761467
383,6,0,1,0.015848085996438856
384,10,0,0,0.03568805383539964
385,7,0,0,0.017390053802634083
386,5,1,0,0.019797427571762387
387,0,2,0,0.010565477917057083
388,4,0,0,0.015641961522293666
389,4,0,0,0.010052026376652066
390,4,0,0,0.010871333297130789
391,2,0,0,0.00855505678799899
392,7,0,0,0.02374263860232464
393,3,0,0,0.008972788117631959
394,4,1,0,0.016069629627088067
395,2,1,0,0.012019289238545483
396,5,1,0,0.015926579253088373
397,9,1,0,0.030449233487770132
398,5,0,0,0.012533020894133424
399,8,0,0,0.02511953016886427
400,2,0,0,0.0025910298806276705
401,5,0,0,0.0115755830442396
402,5,0,0,0.020237437252114802
403,3,0,0,0.003939390473414177
404,6,0,0,0.006229836743037191
405,7,0,0,0.02577207311332861
406,2,0,0,0.0049811883870434365
407,5,0,0,0.019447329245553483
408,6,0,0,0.012725551507194016
409,8,0,0,0.011736247983132705
410,2,0,0,0.0020707328923594173
411,8,0,0,0.03324455314259265
412,6,0,0,0.016229072803754307
413,3,0,0,0.008272385252434846
414,5,0,0,0.02004215418328453
415,7,0,0,0.021921956262012827
416,3,0,0,0.014586200100272919
417,3,0,0,0.014753955408835921
418,3,0,0,0.006235568767119225
419,4,0,0,0.004219453405056373
420,6,0,0,0.01387405250850996
421,5,0,0,0.01637987731594236
422,3,0,0,0.014811848321281745
423,6,0,0,0.012676468132511352
424,5,1,0,0.028769691151260136
425,3,0,0,0.008973149869384037
426,8,0,1,0.0355669346422925
427,3,1,0,0.024801597431969302
428,7,1,0,0.021102950942210253
429,3,0,0,0.008383358131564078
430,5,1,0,0.019039664545589065
431,6,1,0,0.02717252685068565
432,5,0,0,0.011115737397354612
433,3,0,0,0.00962632611480162
434,2,0,0,0.0021636007117599044
435,7,0,0,0.013545325079433013
436,4,0,0,0.012532515641997397
437,2,0,0,0.0067133916952621395
438,2,0,0,0.006757227839035396
439,3,0,0,0.007028900311399614
440,6,0,0,0.016263152067864817
441,6,0,0,0.014544609310493494
442,5,0,0,0.01121721995305119
443,5,0,0,0.011861491289056614
444,7,0,0,0.012453204201867468
445,7,0,0,0.024970496238771532
446,7,0,0,0.01716108458843236
447,3,0,0,0.009020323910395004
448,3,0,0,0.008089344065908033
449,9,0,0,0.021058647752959386
450,9,0,0,0.027145153563162442
451,5,0,0,0.01270836175743305
452,3,0,0,0.008595793311035743
453,6,1,0,0.02018324347330404
454,13,0,0,0.02531034715119353
455,6,0,0,0.01949580155508343
456,10,1,0,0.02786049784555624
457,3,0,0,0.004751592284436036
458,4,0,0,0.013832106462634082
459,3,0,0,0.00912916569563802
460,4,0,0,0.0077751041242057305
461,6,1,0,0.01941596273363016
462,5,0,0,0.008562809257297582
463,4,0,0,0.007666097499184414
464,4,0,0,0.010535498077838889
465,1,0,0,0.002841931703803682
466,0,0,0,0.0
467,5,0,0,0.01979885216726253
468,4,0,0,0.013717761672558953
469,7,0,0,0.020658810706447386
470,4,0,0,0.01535346617075481
471,2,0,0,0.005922782771565296
472,7,1,0,0.022549385325651705
473,5,0,0,0.013465561878204168
474,3,0,0,0.006782221557866397
475,7,0,0,0.027188753034133695
476,3,0,0,0.012265796081038489
477,8,0,0,0.013657676617990042
478,4,0,0,0.007191782118172319
479,5,0,0,0.020392498799989913
480,1,0,0,0.0010502914109060334
481,10,0,0,0.018947985885735964
482,5,0,0,0.01568182191664905
483,7,0,0,0.008732119394817682
484,7,1,0,0.012544268983404402
485,3,0,0,0.003805968986524493
486,6,0,0,0.020050271090684548
487,14,0,0,0.03693872175020518
488,11,0,0,0.018051610240266504
489,3,0,0,0.008495238762315475
490,5,0,0,0.01805772215152939
491,3,0,0,0.007228885532486508
492,5,0,0,0.009734101799522587
493,6,0,0,0.014445577950867084
494,6,1,0,0.017629852681242886
495,4,0,0,0.006967498762410904
496,2,1,0,0.011477077088994621
497,7,0,0,0.014689238000104929
498,5,0,0,0.00894701495055033
499,6,0,0,0.014266265761476394
500,6,2,0,0.03125449899123514
501,5,0,0,0.0114851716453645
502,3,0,0,0.008791520148010875
503,2,0,0,0.006837349453427898
504,2,0,0,0.006414529919420602
505,6,0,0,0.012894878677492401
506,8,0,0,0.015882773981761095
507,2,0,0,0.006914735279084804
508,10,0,0,0.026396042755492358
509,4,0,0,0.01186027813955055
510,3,0,0,0.007698342997051598
511,3,0,0,0.011405381339589238
512,6,0,0,0.01938410683498929
513,4,0,0,0.011176575237035717
514,4,1,0,0.024850652473854738
515,8,0,0,0.014927863063009379
516,4,0,0,0.014595196880011232
517,7,0,0,0.01682928497091106
518,9,0,0,0.04398760760611536
519,9,0,0,0.027171079258346085
520,5,2,0,0.02417673181382876
521,5,1,0,0.03074183340756766
522,5,0,0,0.008274465589676294
523,7,1,0,0.02656832357250006
524,3,2,0,0.023691049572431597
525,3,1,0,0.016189117240275754
526,4,0,0,0.010841601707388354
527,7,0,0,0.016814912209821935
528,3,0,0,0.009671756148573305
529,4,2,0,0.030095521570110577
530,9,0,0,0.027585337793285293
531,1,0,0,0.002998210329881007
532,2,0,0,0.006906208989552127
533,5,0,0,0.01652925520934837
534,7,0,1,0.018896351593350208
535,6,2,0,0.05747739861970645
536,6,0,0,0.011581601641713254
537,7,0,0,0.013371794460394153
538,8,1,0,0.023468904152687174
539,5,0,0,0.01626598137412522
540,5,0,0,0.007451114523670792
541,9,0,0,0.025852696609395532
542,7,1,0,0.03168592346885513
543,9,1,0,0.026020623724300408
544,9,0,0,0.02213359176564098
545,6,1,0,0.018364478558187666
546,7,0,0,0.01812489369689928
547,6,1,0,0.021549602553072703
548,6,1,0,0.013665369587187242
549,6,1,0,0.02474120801617607
550,7,1,0,0.02181845728938725
551,6,1,0,0.022329415642865863
552,9,1,0,0.0237082352611523
553,2,0,0,0.010487399255119574
554,5,1,0,0.019208074754327148
555,8,1,0,0.0243080785391309
556,9,0,0,0.022612311777505695
557,9,1,0,0.02260427797322875
558,8,1,0,0.02229566376038646
559,3,0,0,0.00576389458128553
560,4,0,0,0.01649469783372263
561,7,1,0,0.023882279792599066
562,8,1,0,0.02515953859768688
563,8,0,0,0.020604185317478603
564,8,1,0,0.025587423964162654
565,7,1,0,0.022181569770273874
566,3,0,0,0.003240044108064871
567,2,0,0,0.004245269739638186
568,5,1,0,0.019234195122467268
569,8,0,0,0.016155311443952894
570,10,1,0,0.03549632995756613
571,6,0,0,0.018039510597044246
572,6,1,0,0.020397278150323675
573,6,0,0,0.021998080712591118
574,7,0,0,0.018339436839257057
575,4,1,0,0.010087210049352934
576,4,1,0,0.01740570456383859
577,5,0,0,0.007589041132224439
578,6,1,0,0.02283284252904712
579,5,1,0,0.021412862463977136
580,3,0,0,0.006142312992650895
581,5,0,0,0.01776393854339628
582,5,1,0,0.021097555947252895
583,4,1,0,0.0126812534379941
584,5,1,0,0.019036943540268112
585,5,1,0,0.01919136640994111
586,4,0,0,0.007784551171676463
587,5,1,0,0.019525723159881804
588,6,0,0,0.015816256879794016
589,3,1,0,0.009283252618452361
590,8,1,0,0.025749059841996144
591,6,0,0,0.013315093923385441
592,7,3,0,0.05947078535705158
593,8,2,0,0.028163441875755476
594,6,1,0,0.017822575849018498
595,6,0,0,0.017416644866839137
596,2,0,0,0.002460830682323797
597,3,0,1,0.0077683123542401184
598,11,0,0,0.01922678851278626
599,4,0,0,0.007790017390598897
600,8,0,0,0.01586021451020012
601,7,0,0,0.013437504982573978
602,7,0,0,0.017507900976078992
603,6,0,0,0.01652263095881305
604,9,1,0,0.026573101720194378
605,10,0,0,0.020032606762990193
606,3,0,0,0.005851806965462553
607,4,0,0,0.012514040198315073
608,8,0,0,0.021058855459850746
609,8,0,0,0.015008311671110367
610,5,0,0,0.008885604967179932
611,5,1,0,0.015971878648399274
612,3,0,0,0.003925948771737936
613,8,0,0,0.011549408398679116
614,10,0,0,0.017365807855498537
615,6,0,0,0.011591444565067686
616,3,0,0,0.0052656004837869355
617,4,0,0,0.008499605671515585
618,4,1,0,0.012476807447334674
619,3,0,0,0.006065398279784454
620,6,1,0,0.01953369554915871
621,8,0,0,0.01945905645123882
622,6,0,0,0.011677980670329245
623,5,1,0,0.01441797063076929
624,3,0,0,0.006196226451602006
625,10,1,0,0.025619333802382984
626,4,0,0,0.005755031215376221
627,6,0,0,0.0115205066189379
628,6,2,0,0.03093798612690686
629,5,1,1,0.016743467214451184
630,3,1,0,0.01796414397626197
631,2,2,0,0.007773554642448693
632,2,1,1,0.013512675199696483
633,3,0,0,0.011332841659443349
634,4,0,0,0.008498559402845178
635,7,0,0,0.01605447099972042
636,8,0,0,0.014486046261957165
637,4,0,0,0.007668361184273467
638,4,0,0,0.008024266262498848
639,5,0,0,0.007731848080066913
640,4,0,0,0.009178455665015564
641,3,1,0,0.009411804619350149
642,5,0,0,0.010488180779923115
643,8,0,0,0.01367788972456765
644,10,0,0,0.027903542931688903
645,6,0,0,0.010861780040582676
646,9,1,0,0.03321872794447699
647,3,1,0,0.011015917101370482
648,4,0,0,0.009695100179761303
649,2,0,0,0.002952573752640833
650,6,0,1,0.01613592377936584
651,5,0,0,0.007617137885945677
652,6,0,0,0.012156151910950243
653,6,2,0,0.021906208728382975
654,5,0,0,0.013366478230088467
655,7,0,0,0.018013541731417133
656,2,0,0,0.004074428061236783
657,4,0,0,0.01752513094687688
658,6,1,0,0.017019593912270668
659,4,1,1,0.019052852388939542
660,4,0,0,0.00713432497386411
661,4,0,0,0.004905095308937167
662,7,0,0,0.014918328128338926
663,2,0,0,0.004188750851144842
664,8,1,0,0.04979490059323988
665,5,0,0,0.013465080937948423
666,10,0,0,0.021999735103987113
667,2,1,0,0.009290350195628384
668,3,0,0,0.005027044518501497
669,2,0,1,0.03054335217118888
670,9,1,0,0.022578261687068547
671,9,1,0,0.022555070500405876
672,7,0,0,0.012537418951404915
673,7,0,0,0.017982759076341472
674,4,1,0,0.010043316157666763
675,4,0,0,0.007764600169752224
676,5,0,0,0.009628284391999191
